SampleNo,CrackLocation,CrackType,Freq1,Freq2,Freq3,CrackReason,CrackPresent,NumberOfCracks,ReferencePoint,Crack1Distance(mm),Crack2Distance(mm),Crack3Distance(mm),Mode1Shape(mm),Mode2Shape(mm),Mode3Shape(mm)
292,Rib 1,X-Crack,54.60,325.24,362.14,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,57.1,,,71.99,214.64,319.07
293,Rib 1,X-Crack,58.77,359.28,260.35,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,69.0,,,64.19,202.17,316.78
294,Rib 1,X-Crack,66.99,321.07,349.00,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,64.1,,,69.29,203.08,302.89
295,Rib 1,X-Crack,64.46,329.88,395.04,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,58.3,,,66.62,190.51,279.57
296,Rib 1,X-Crack,56.74,325.47,385.99,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,55.2,,,68.41,217.76,341.63
297,Rib 1,X-Crack,59.40,344.38,395.09,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,48.7,,,85.87,243.5,368.94
298,Rib 1,X-Crack,47.97,281.82,344.57,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,62.1,,,86.73,272.57,411.49
299,Rib 1,X-Crack,52.07,269.46,330.86,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,62.4,,,72.33,230.78,347.65
300,Rib 1,X-Crack,60.17,264.03,377.80,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,59.4,,,81.95,252.88,364.78
301,Rib 1,X-Crack,51.60,280.70,450.17,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,62.8,,,66.06,186.49,292.03
302,Rib 1,X-Crack,51.01,364.90,275.08,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,62.1,,,86.9,263.38,386.22
303,Rib 1,X-Crack,50.52,343.98,376.56,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,68.0,,,67.98,204.7,308.68
304,Rib 1,X-Crack,50.40,317.98,357.69,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,59.8,,,73.43,217.63,319.29
305,Rib 1,X-Crack,61.22,344.11,357.37,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,52.0,,,81.22,240.46,370.41
306,Rib 1,X-Crack,54.92,359.22,369.75,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,57.4,,,65.83,191.18,297.22
307,Rib 1,X-Crack,60.93,314.69,388.94,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,66.8,,,69.75,203.32,286.42
308,Rib 1,X-Crack,54.01,288.45,437.85,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,63.5,,,67.28,206.21,317.17
309,Rib 1,X-Crack,63.65,289.04,401.26,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,59.5,,,85.7,258.96,408.92
310,Rib 1,X-Crack,56.32,319.28,349.64,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,52.8,,,80.71,245.84,363.23
311,Rib 1,X-Crack,49.71,303.69,276.46,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,53.0,,,82.53,238.32,354.99
312,Rib 1,X-Crack,54.12,287.30,373.78,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,61.4,,,66.43,202.78,300.51
313,Rib 1,X-Crack,54.56,291.76,330.05,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,54.5,,,69.65,207.96,329.74
314,Rib 1,X-Crack,49.24,288.30,382.84,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,62.4,,,69.49,218.71,308.36
315,Rib 1,X-Crack,59.64,365.48,405.64,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,57.5,,,84.21,256.42,359.59
316,Rib 1,X-Crack,52.97,390.00,379.35,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,59.4,,,83.4,266.64,377.07
317,Rib 1,X-Crack,44.89,313.27,398.48,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,59.7,,,67.97,208.7,303.22
318,Rib 1,X-Crack,52.15,314.12,337.37,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,64.9,,,79.4,224.8,352.99
319,Rib 1,X-Crack,53.05,325.14,268.74,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,53.9,,,71.02,217.6,318.85
320,Rib 1,X-Crack,40.92,308.58,390.41,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,54.3,,,70.51,222.42,317.2
321,Rib 1,X-Crack,55.38,331.41,340.29,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,68.6,,,74.77,225.9,355.55
322,Rib 1,X-Crack,60.45,343.09,353.39,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,65.7,,,75.53,237.05,373.95
323,Upper Skin,Surface Crack,72.65,273.82,523.69,Stress Concentration at the Rib Junction,Yes,2,Wing Root,120.3,240.8,,97.68,303.89,472.04
324,Upper Skin,Surface Crack,70.29,279.96,665.97,Stress Concentration at the Rib Junction,Yes,2,Wing Root,123.0,240.8,,118,336.32,516.2
325,Upper Skin,Surface Crack,77.98,274.63,552.28,Stress Concentration at the Rib Junction,Yes,2,Wing Root,117.9,240.8,,121.25,355.17,512.42
326,Upper Skin,Surface Crack,61.72,344.10,474.73,Stress Concentration at the Rib Junction,Yes,2,Wing Root,128.2,240.8,,106.04,319,491.22
327,Upper Skin,Surface Crack,73.49,312.88,505.50,Stress Concentration at the Rib Junction,Yes,2,Wing Root,109.5,240.8,,110.86,328.73,490.88
328,Upper Skin,Surface Crack,75.72,285.75,556.81,Stress Concentration at the Rib Junction,Yes,2,Wing Root,123.5,240.8,,116.29,342.53,486.37
329,Upper Skin,Surface Crack,82.31,312.50,557.22,Stress Concentration at the Rib Junction,Yes,2,Wing Root,123.4,240.8,,111.43,343.06,520.65
330,Upper Skin,Surface Crack,79.40,287.72,564.76,Stress Concentration at the Rib Junction,Yes,2,Wing Root,112.9,240.8,,131.51,396.01,565.01
331,Upper Skin,Surface Crack,78.52,261.11,505.18,Stress Concentration at the Rib Junction,Yes,2,Wing Root,123.2,240.8,,105.52,298.83,438.3
332,Upper Skin,Surface Crack,76.60,261.19,561.16,Stress Concentration at the Rib Junction,Yes,2,Wing Root,132.2,240.8,,112.38,347.63,509.24
333,Upper Skin,Surface Crack,72.34,251.92,475.86,Stress Concentration at the Rib Junction,Yes,2,Wing Root,129.2,240.8,,101.88,313.71,498.22
334,Upper Skin,Surface Crack,76.76,326.61,532.29,Stress Concentration at the Rib Junction,Yes,2,Wing Root,90.8,240.8,,121.94,349.42,558.46
335,Upper Skin,Surface Crack,59.44,247.61,522.39,Stress Concentration at the Rib Junction,Yes,2,Wing Root,107.1,240.8,,103.67,308.02,488.26
336,Upper Skin,Surface Crack,80.44,335.93,563.11,Stress Concentration at the Rib Junction,Yes,2,Wing Root,98.4,240.8,,117.5,347.5,498.83
337,Upper Skin,Surface Crack,66.86,275.30,513.39,Stress Concentration at the Rib Junction,Yes,2,Wing Root,121.9,240.8,,114.32,342.71,531.03
338,Upper Skin,Surface Crack,81.45,270.10,498.67,Stress Concentration at the Rib Junction,Yes,2,Wing Root,109.6,240.8,,128.23,407.37,640.39
339,Upper Skin,Surface Crack,75.58,291.13,486.47,Stress Concentration at the Rib Junction,Yes,1,Wing Root,122.3,240.8,,121.24,345.69,490.05
340,Upper Skin,Surface Crack,73.47,253.97,615.38,Stress Concentration at the Rib Junction,Yes,2,Wing Root,141.8,240.8,,131.92,412.94,654.46
341,Upper Skin,Surface Crack,74.38,255.26,487.06,Stress Concentration at the Rib Junction,Yes,2,Wing Root,121.3,240.8,,123.74,392.94,590.92
342,Upper Skin,Surface Crack,70.25,311.02,603.91,Stress Concentration at the Rib Junction,Yes,2,Wing Root,105.0,240.8,,108.39,315.54,500.07
343,Upper Skin,Surface Crack,77.07,251.91,501.15,Stress Concentration at the Rib Junction,Yes,2,Wing Root,97.2,240.8,,122.54,391.37,578.59
344,Upper Skin,Surface Crack,71.14,304.79,531.63,Stress Concentration at the Rib Junction,Yes,2,Wing Root,106.8,240.8,,111.63,320.04,497.01
345,Upper Skin,Surface Crack,85.31,282.43,597.51,Stress Concentration at the Rib Junction,Yes,2,Wing Root,107.1,240.8,,102.8,307.09,472.97
346,Upper Skin,Surface Crack,73.61,258.15,519.81,Stress Concentration at the Rib Junction,Yes,2,Wing Root,129.7,240.8,,117.96,373.3,593.02
347,Upper Skin,Surface Crack,68.85,303.29,457.27,Stress Concentration at the Rib Junction,Yes,2,Wing Root,124.9,240.8,,118.02,339.05,538.59
348,Upper Skin,Surface Crack,61.90,287.02,600.60,Stress Concentration at the Rib Junction,Yes,2,Wing Root,116.4,240.8,,126.57,368.65,559.28
349,Upper Skin,Surface Crack,59.90,273.16,522.88,Stress Concentration at the Rib Junction,Yes,2,Wing Root,113.4,240.8,,99.34,282.02,448.94
350,Upper Skin,Surface Crack,67.06,294.52,552.43,Stress Concentration at the Rib Junction,Yes,2,Wing Root,110.9,240.8,,97.99,278.67,443.45
351,Upper Skin,Surface Crack,70.02,248.34,596.70,Stress Concentration at the Rib Junction,Yes,2,Wing Root,129.4,240.8,,106.01,298.54,458.75
352,Upper Skin,Surface Crack,76.29,276.11,514.52,Stress Concentration at the Rib Junction,Yes,2,Wing Root,125.1,240.8,,111.21,317.5,492.93
353,Upper Skin,Surface Crack,67.00,260.95,535.70,Stress Concentration at the Rib Junction,Yes,2,Wing Root,119.7,240.8,,122.79,382.19,558.2
354,Upper Skin,Surface Crack,82.72,278.20,580.71,Stress Concentration at the Rib Junction,Yes,2,Wing Root,105.4,240.8,,106.1,322.62,475.76
355,Upper Skin,Surface Crack,85.60,306.12,450.76,Stress Concentration at the Rib Junction,Yes,2,Wing Root,133.5,240.8,,126.98,402.76,590.52
356,Upper Skin,Surface Crack,86.64,279.42,539.84,Stress Concentration at the Rib Junction,Yes,2,Wing Root,115.2,240.8,,104.11,330.36,470.45
357,Upper Skin,Surface Crack,80.85,275.59,511.80,Stress Concentration at the Rib Junction,Yes,2,Wing Root,115.5,240.8,,130.88,417.79,607.98
358,Upper Skin,Surface Crack,83.38,259.50,561.39,Stress Concentration at the Rib Junction,Yes,2,Wing Root,110.7,240.8,,122.14,381.23,582.25
359,Upper Skin,Surface Crack,68.13,281.50,531.89,Stress Concentration at the Rib Junction,Yes,2,Wing Root,104.1,240.8,,104.45,316.86,466.98
360,Upper Skin,Surface Crack,68.74,265.26,542.23,Stress Concentration at the Rib Junction,Yes,2,Wing Root,109.8,240.8,,107.46,323.54,505.58
361,Upper Skin,Surface Crack,60.11,274.18,465.64,Stress Concentration at the Rib Junction,Yes,2,Wing Root,138.3,240.8,,103.48,300.29,461.81
